transaction_id,date,region,product,category,customer_id,quantity,unit_price,discount_pct,sales_amount,profit,hour,day_of_week,month,sales_zscore,sales_percentile,is_outlier,category_avg_sale,category_total_sales,category_transaction_count,contribution_pct
TXN1000,2024-01-01 00:00:00,South,Monitor,Accessories,CUST655,2,1822.3,15,3097.91,991.69,0,Monday,1,0.10171353957197074,59.01639344262295,False,2898.9995081967218,176838.97000000003,61,1.75
TXN1001,2024-01-01 01:00:00,West,Tablet,Electronics,CUST784,5,1286.05,5,6108.74,1975.93,1,Monday,1,1.6265770394972545,95.0,False,2813.722,225097.76,80,2.71
TXN1002,2024-01-01 02:00:00,East,Laptop,Accessories,CUST771,3,322.11,5,918.01,267.76,2,Monday,1,-1.0129855539892916,22.950819672131146,False,2898.9995081967218,176838.97000000003,61,0.52
TXN1003,2024-01-01 03:00:00,South,Monitor,Accessories,CUST272,3,1885.68,5,5374.19,1705.78,3,Monday,1,1.2656968657298817,93.44262295081968,False,2898.9995081967218,176838.97000000003,61,3.04
TXN1004,2024-01-01 04:00:00,North,Mouse,Electronics,CUST928,3,1292.65,0,3877.95,1122.64,4,Monday,1,0.5253533757903853,71.25,False,2813.722,225097.76,80,1.72
TXN1005,2024-01-01 05:00:00,North,Monitor,Software,CUST914,3,736.32,15,1877.62,537.05,5,Monday,1,-0.36462943605379095,55.932203389830505,False,2726.833389830508,160883.16999999998,59,1.17
TXN1006,2024-01-01 06:00:00,North,Mouse,Electronics,CUST248,1,364.62,5,346.39,94.81,6,Monday,1,-1.217992004904629,5.0,False,2813.722,225097.76,80,0.15
TXN1007,2024-01-01 07:00:00,West,Tablet,Accessories,CUST179,3,1608.65,0,4825.95,1450.41,7,Monday,1,0.9853525237628069,81.9672131147541,False,2898.9995081967218,176838.97000000003,61,2.73
TXN1008,2024-01-01 08:00:00,East,Mouse,Accessories,CUST985,4,1278.14,5,4856.93,882.61,8,Monday,1,1.00119424949267,85.24590163934425,False,2898.9995081967218,176838.97000000003,61,2.75
TXN1009,2024-01-01 09:00:00,East,Laptop,Electronics,CUST312,4,1113.58,0,4454.32,1452.88,9,Monday,1,0.8098769226283791,75.0,False,2813.722,225097.76,80,1.98
TXN1010,2024-01-01 10:00:00,North,Tablet,Software,CUST302,1,1798.4,0,1798.4,583.34,10,Monday,1,-0.39864437772816386,54.23728813559322,False,2726.833389830508,160883.16999999998,59,1.12
TXN1011,2024-01-01 11:00:00,West,Laptop,Accessories,CUST863,3,1598.33,10,4315.49,672.57,11,Monday,1,0.724327110074435,73.77049180327869,False,2898.9995081967218,176838.97000000003,61,2.44
TXN1012,2024-01-01 12:00:00,West,Keyboard,Accessories,CUST328,3,388.18,0,1164.54,367.02,12,Monday,1,-0.886921620994357,31.147540983606557,False,2898.9995081967218,176838.97000000003,61,0.66
TXN1013,2024-01-01 13:00:00,North,Phone,Accessories,CUST775,3,692.27,5,1972.97,346.8,13,Monday,1,-0.47352825973570684,37.704918032786885,False,2898.9995081967218,176838.97000000003,61,1.12
TXN1014,2024-01-01 14:00:00,North,Mouse,Electronics,CUST326,5,572.13,0,2860.65,620.83,14,Monday,1,0.023165884771957843,58.75,False,2813.722,225097.76,80,1.27
TXN1015,2024-01-01 15:00:00,North,Phone,Accessories,CUST758,2,1513.5,0,3027.0,904.17,15,Monday,1,0.06545347593399241,54.09836065573771,False,2898.9995081967218,176838.97000000003,61,1.71
TXN1016,2024-01-01 16:00:00,South,Phone,Software,CUST631,5,163.71,0,818.55,149.1,16,Monday,1,-0.8193656678018117,22.033898305084744,False,2726.833389830508,160883.16999999998,59,0.51
