transaction_id,date,region,product,category,customer_id,quantity,unit_price,discount_pct,sales_amount,profit,hour,day_of_week,month
TXN1000,2024-01-01 00:00:00,South,Monitor,Accessories,CUST655,2,1822.3,15,3097.91,991.69,0,Monday,1
TXN1001,2024-01-01 01:00:00,West,Tablet,Electronics,CUST784,5,1286.05,5,6108.74,1975.93,1,Monday,1
TXN1002,2024-01-01 02:00:00,East,Laptop,Accessories,CUST771,3,322.11,5,918.01,267.76,2,Monday,1
TXN1003,2024-01-01 03:00:00,South,Monitor,Accessories,CUST272,3,1885.68,5,5374.19,1705.78,3,Monday,1
TXN1004,2024-01-01 04:00:00,North,Mouse,Electronics,CUST928,3,1292.65,0,3877.95,1122.64,4,Monday,1
TXN1005,2024-01-01 05:00:00,North,Monitor,Software,CUST914,3,736.32,15,1877.62,537.05,5,Monday,1
TXN1006,2024-01-01 06:00:00,North,Mouse,Electronics,CUST248,1,364.62,5,346.39,94.81,6,Monday,1
TXN1007,2024-01-01 07:00:00,West,Tablet,Accessories,CUST179,3,1608.65,0,4825.95,1450.41,7,Monday,1
TXN1008,2024-01-01 08:00:00,East,Mouse,Accessories,CUST985,4,1278.14,5,4856.93,882.61,8,Monday,1
TXN1009,2024-01-01 09:00:00,East,Laptop,Electronics,CUST312,4,1113.58,0,4454.32,1452.88,9,Monday,1
TXN1010,2024-01-01 10:00:00,North,Tablet,Software,CUST302,1,1798.4,0,1798.4,583.34,10,Monday,1
TXN1011,2024-01-01 11:00:00,West,Laptop,Accessories,CUST863,3,1598.33,10,4315.49,672.57,11,Monday,1
TXN1012,2024-01-01 12:00:00,West,Keyboard,Accessories,CUST328,3,388.18,0,1164.54,367.02,12,Monday,1
TXN1013,2024-01-01 13:00:00,North,Phone,Accessories,CUST775,3,692.27,5,1972.97,346.8,13,Monday,1
TXN1014,2024-01-01 14:00:00,North,Mouse,Electronics,CUST326,5,572.13,0,2860.65,620.83,14,Monday,1
TXN1015,2024-01-01 15:00:00,North,Phone,Accessories,CUST758,2,1513.5,0,3027.0,904.17,15,Monday,1
TXN1016,2024-01-01 16:00:00,South,Phone,Software,CUST631,5,163.71,0,818.55,149.1,16,Monday,1
TXN1017,2024-01-01 17:00:00,South,Mouse,Accessories,CUST540,2,1182.79,0,2365.58,741.83,17,Monday,1
TXN1018,2024-01-01 18:00:00,South,Tablet,Accessories,CUST501,3,1548.67,10,4181.41,1323.11,18,Monday,1
TXN1019,2024-01-01 19:00:00,North,Keyboard,Software,CUST146,3,1765.85,0,5297.55,1332.3,19,Monday,1
TXN1020,2024-01-01 20:00:00,East,Laptop,Accessories,CUST332,5,749.96,5,3562.31,538.9,20,Monday,1
TXN1021,2024-01-01 21:00:00,North,Monitor,Electronics,CUST404,5,1660.39,5,7886.85,1635.79,21,Monday,1
TXN1022,2024-01-01 22:00:00,North,Laptop,Electronics,CUST625,2,310.2,5,589.38,161.13,22,Monday,1
TXN1023,2024-01-01 23:00:00,South,Monitor,Electronics,CUST242,4,1708.26,15,5808.08,2010.97,23,Monday,1
TXN1024,2024-01-02 00:00:00,South,Laptop,Software,CUST514,2,342.23,10,616.01,170.24,0,Tuesday,1
TXN1025,2024-01-02 01:00:00,East,Mouse,Accessories,CUST612,5,854.85,0,4274.25,863.23,1,Tuesday,1
TXN1026,2024-01-02 02:00:00,North,Keyboard,Electronics,CUST472,5,1614.86,0,8074.3,2234.98,2,Tuesday,1
TXN1027,2024-01-02 03:00:00,South,Monitor,Software,CUST665,1,384.84,0,384.84,99.29,3,Tuesday,1
TXN1028,2024-01-02 04:00:00,South,Tablet,Accessories,CUST985,5,535.58,5,2544.0,778.39,4,Tuesday,1
TXN1029,2024-01-02 05:00:00,North,Laptop,Software,CUST358,1,1472.28,0,1472.28,252.34,5,Tuesday,1
TXN1030,2024-01-02 06:00:00,East,Laptop,Electronics,CUST755,4,1468.07,5,5578.67,1685.91,6,Tuesday,1
TXN1031,2024-01-02 07:00:00,North,Monitor,Electronics,CUST570,2,1318.18,5,2504.54,646.81,7,Tuesday,1
TXN1032,2024-01-02 08:00:00,North,Tablet,Electronics,CUST111,2,1418.5,0,2837.0,971.95,8,Tuesday,1
TXN1033,2024-01-02 09:00:00,West,Tablet,Software,CUST429,1,1131.18,10,1018.06,222.32,9,Tuesday,1
TXN1034,2024-01-02 10:00:00,West,Mouse,Software,CUST835,2,578.42,0,1156.84,319.89,10,Tuesday,1
TXN1035,2024-01-02 11:00:00,West,Mouse,Electronics,CUST883,5,756.82,0,3784.1,1272.99,11,Tuesday,1
TXN1036,2024-01-02 12:00:00,South,Mouse,Software,CUST457,3,445.04,10,1201.61,204.88,12,Tuesday,1
TXN1037,2024-01-02 13:00:00,North,Mouse,Electronics,CUST507,1,1826.06,5,1734.76,585.39,13,Tuesday,1
TXN1038,2024-01-02 14:00:00,East,Mouse,Electronics,CUST767,2,1208.44,5,2296.04,660.29,14,Tuesday,1
TXN1039,2024-01-02 15:00:00,South,Mouse,Accessories,CUST472,1,861.62,5,818.54,133.89,15,Tuesday,1
TXN1040,2024-01-02 16:00:00,North,Keyboard,Software,CUST107,1,977.81,0,977.81,205.53,16,Tuesday,1
TXN1041,2024-01-02 17:00:00,South,Tablet,Electronics,CUST221,3,1899.84,10,5129.57,1495.96,17,Tuesday,1
TXN1042,2024-01-02 18:00:00,North,Mouse,Electronics,CUST447,5,391.37,10,1761.16,287.9,18,Tuesday,1
TXN1043,2024-01-02 19:00:00,West,Tablet,Software,CUST775,1,1213.84,5,1153.15,307.24,19,Tuesday,1
TXN1044,2024-01-02 20:00:00,North,Tablet,Accessories,CUST189,2,1061.19,0,2122.38,465.18,20,Tuesday,1
TXN1045,2024-01-02 21:00:00,East,Phone,Accessories,CUST747,4,1261.76,5,4794.69,1314.62,21,Tuesday,1
TXN1046,2024-01-02 22:00:00,South,Keyboard,Electronics,CUST797,1,134.41,0,134.41,21.39,22,Tuesday,1
TXN1047,2024-01-02 23:00:00,South,Mouse,Software,CUST415,1,1757.04,0,1757.04,569.82,23,Tuesday,1
TXN1048,2024-01-03 00:00:00,South,Laptop,Accessories,CUST277,3,1871.02,15,4771.1,1644.59,0,Wednesday,1
TXN1049,2024-01-03 01:00:00,North,Monitor,Software,CUST639,5,1173.75,0,5868.75,2017.53,1,Wednesday,1
TXN1050,2024-01-03 02:00:00,West,Laptop,Software,CUST831,4,1423.64,20,4555.65,1366.38,2,Wednesday,1
